experiment,detector,trial_file,trial_type,passed,sub_check,threshold_mode,provenance
experiment_009,schema_violation,trial_001.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_002.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_003.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_004.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_005.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_006.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_007.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_008.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_009.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_010.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_011.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_012.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_013.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_014.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_015.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_016.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_017.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_018.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
experiment_009,schema_violation,trial_019.json,clean,True,,,"published-instrument (direct -- JSONSchemaBench Glaiveai2K, filtered to ReliAgent's supported keyword subset)"
